"slug","lat","lng","native_lang"
afghanistan,"33.93911","67.709953",1
albania,"41.153332","20.168331",1
germany,"51.165691","10.451526",1
andorra,"42.546245","1.601554",1
angola,-11.202692,"17.873887",1
antigua-and-barbuda,"17.060816",-61.796428,1
saudi-arabia,"23.885942","45.079162",1
algeria,"28.033886","1.659626",3
argentina,-38.416097,-63.616672,2
armenia,"40.069099","45.038189",1
australia,-25.274398,"133.775136",1
austria,"47.516231","14.550072",1
azerbaijan,"40.143105","47.576927",1
bahamas,"25.03428",-77.39628,1
bangladesh,"23.684994","90.356331",1
barbados,"13.193887",-59.543198,1
bahrain,"25.930414","50.637772",1
belgium,"50.503887","4.469936",3
belize,"17.189877",-88.49765,1
benin,"9.30769","2.315834",3
belarus,"53.709807","27.953389",1
myanmar,"","",1
bolivia,-16.290154,-63.588653,2
bosnia-and-herzegovina,"43.915886","17.679076",1
botswana,-22.328474,"24.684866",1
brazil,-14.235004,-51.92528,2
brunei,"4.535277","114.727669",1
bulgaria,"42.733883","25.48583",1
burkina-faso,"12.238333",-1.561593,3
burundi,-3.373056,"29.918886",3
bhutan,"27.514162","90.433601",1
cape-verde,"16.002082",-24.013197,1
cambodia,"12.565679","104.990963",1
cameroon,"7.369722","12.354722",3
canada,"56.130366",-106.346771,1
qatar,"25.354826","51.183884",1
chad,"15.454166","18.732207",3
chile,-35.675147,-71.542969,2
china,"35.86166","104.195397",1
cyprus,"35.126413","33.429859",1
vatican-city,"41.902916","12.453389",1
colombia,"4.570868",-74.297333,2
comoros,-11.875001,"43.872219",3
north-korea,"40.339852","127.510093",1
south-korea,"35.907757","127.766922",1
ivory-coast,"","",3
costa-rica,"9.748917",-83.753428,2
croatia,"45.1","15.2",1
cuba,"21.521757",-77.781167,2
denmark,"56.26392","9.501785",1
dominica,"15.414999",-61.370976,1
ecuador,-1.831239,-78.183406,2
egypt,"26.820553","30.802498",1
el-salvador,"13.794185",-88.89653,2
united-arab-emirates,"23.424076","53.847818",1
eritrea,"15.179384","39.782334",1
slovakia,"48.669026","19.699024",3
